"","seqnames","start","end","width","strand","name","score","nearest_gene_id","nearest_gene","distance_to_tss","inside_gene","location","lola_motif"
"66","chr2L",1362341,1362540,200,"*","lola_i_peaks_1_peak_28",667.98846,"FBgn0053126","NLaz",619,"FALSE","distal",1
"67","chrX",18479611,18479810,200,"*","lola_i_peaks_1_peak_1715",666.43323,"FBgn0052547","CG32547",223,"FALSE","promoter",2
"68","chrX",18319957,18320156,200,"*","lola_i_peaks_1_peak_1709",640.10822,"FBgn0030912","CG6023",1135,"TRUE","distal",5
"69","chr3L",6619184,6619383,200,"*","lola_i_peaks_1_peak_819",638.56647,"FBgn0004619","GluRIA",4747,"FALSE","distal",1
"70","chr2L",5624116,5624315,200,"*","lola_i_peaks_1_peak_107",615.53259,"FBgn0031726","Cyp6a16",453,"FALSE","distal",3
"71","chrX",3252732,3252931,200,"*","lola_i_peaks_1_peak_1561",612.47461,"FBgn0000479","dnc",2742,"TRUE","distal",5
"72","chr3R",16180572,16180771,200,"*","lola_i_peaks_1_peak_1271",607.92694,"FBgn0038405","CG8927",347,"FALSE","promoter",1
"73","chr2L",9567479,9567678,200,"*","lola_i_peaks_1_peak_161",603.21002,"FBgn0032129","jp",828,"FALSE","distal",4
"74","chr3R",27228432,27228631,200,"*","lola_i_peaks_1_peak_1436",571.37994,"FBgn0261995","CG42813",9,"TRUE","promoter",2
"75","chr3R",23601622,23601821,200,"*","lola_i_peaks_1_peak_1375",570.41943,"FBgn0051143","tRNA:Leu-CAA-2-3",266,"FALSE","promoter",1
"76","chrX",3285395,3285594,200,"*","lola_i_peaks_1_peak_1562",569.99841,"FBgn0000479","dnc",3885,"TRUE","distal",3
"77","chr3R",10076742,10076941,200,"*","lola_i_peaks_1_peak_1177",560.8526,"FBgn0037786","CG5361",1468,"FALSE","distal",3
"78","chrX",9502437,9502636,200,"*","lola_i_peaks_1_peak_1615",559.47949,"FBgn0261260","mgl",2407,"FALSE","distal",4
"79","chr3L",18114429,18114628,200,"*","lola_i_peaks_1_peak_1008",550.71149,"FBgn0052195","CG32195",244,"TRUE","distal",1
"80","chr2R",6015943,6016142,200,"*","lola_i_peaks_1_peak_340",541.92804,"FBgn0000043","Act42A",353,"FALSE","promoter",2
"81","chr3R",16305245,16305444,200,"*","lola_i_peaks_1_peak_1277",540.4397,"FBgn0038412","Zip89B",412,"FALSE","distal",1
"82","chrX",1819045,1819244,200,"*","lola_i_peaks_1_peak_1538",535.59149,"FBgn0283741","prage",1195,"TRUE","distal",1
"83","chrX",1187044,1187243,200,"*","lola_i_peaks_1_peak_1518",534.10577,"FBgn0040360","CG14626",2365,"TRUE","distal",2
"84","chr3R",23943073,23943272,200,"*","lola_i_peaks_1_peak_1382",531.13696,"FBgn0001098","Gdh",71,"FALSE","promoter",2
"85","chr3L",6942683,6942882,200,"*","lola_i_peaks_1_peak_827",530.20764,"FBgn0035719","tow",72,"FALSE","promoter",2
"86","chrX",1821123,1821322,200,"*","lola_i_peaks_1_peak_1539",525.20978,"FBgn0283741","prage",881,"TRUE","distal",1
"87","chr3R",28677786,28677985,200,"*","lola_i_peaks_1_peak_1446",522.25146,"FBgn0039594","CG9990",2844,"TRUE","distal",7
"88","chr2L",1657294,1657493,200,"*","lola_i_peaks_1_peak_38",521.84998,"FBgn0086758","chinmo",6135,"TRUE","distal",3
"89","chr3R",6170779,6170978,200,"*","lola_i_peaks_1_peak_1117",513.32379,"FBgn0037406","Osi1",2669,"FALSE","distal",2
"90","chr3L",8058628,8058827,200,"*","lola_i_peaks_1_peak_846",512.67096,"FBgn0026263","bip1",14,"FALSE","promoter",3
"91","chr2R",12474244,12474443,200,"*","lola_i_peaks_1_peak_491",511.31018,"FBgn0033744","Dh44-R2",79,"FALSE","promoter",2
"92","chr2L",7702595,7702794,200,"*","lola_i_peaks_1_peak_135",502.81512,"FBgn0041181","Tep3",109,"FALSE","promoter",1
"93","chr3R",10093582,10093781,200,"*","lola_i_peaks_1_peak_1182",501.42813,"FBgn0263413","lncRNA:CR43459",78,"FALSE","promoter",3
"94","chr3R",29682368,29682567,200,"*","lola_i_peaks_1_peak_1453",501.20969,"FBgn0013972","Gycalpha99B",34,"FALSE","promoter",3
"95","chr3R",17158751,17158950,200,"*","lola_i_peaks_1_peak_1289",473.19238,"FBgn0038492","Mur89F",6989,"TRUE","distal",4
"96","chrX",18512365,18512564,200,"*","lola_i_peaks_1_peak_1716",471.28098,"FBgn0030932","Ggt-1",55,"TRUE","promoter",1
"97","chr3R",20464452,20464651,200,"*","lola_i_peaks_1_peak_1329",465.28741,"FBgn0262869","Gfrl",14864,"TRUE","distal",4
"98","chr2L",1987697,1987896,200,"*","lola_i_peaks_1_peak_46",458.59579,"FBgn0001125","Got2",38,"FALSE","promoter",2
"99","chr3L",17211616,17211815,200,"*","lola_i_peaks_1_peak_975",450.65884,"FBgn0260943","Rbp6",26495,"TRUE","distal",1
"100","chrX",19496924,19497123,200,"*","lola_i_peaks_1_peak_1728",450.43518,"FBgn0031023","CG14200",348,"TRUE","distal",2
"101","chrX",21174969,21175168,200,"*","lola_i_peaks_1_peak_1742",450.36191,"FBgn0267062","lncRNA:CR45506",12909,"FALSE","distal",1
"102","chr2L",13332862,13333061,200,"*","lola_i_peaks_1_peak_210",442.33209,"FBgn0264308","CG43778",1840,"FALSE","distal",3
"103","chr2R",9308671,9308870,200,"*","lola_i_peaks_1_peak_420",442.33209,"FBgn0033402","Myd88",48,"FALSE","promoter",1
"104","chr3R",31134172,31134371,200,"*","lola_i_peaks_1_peak_1476",432.3685,"FBgn0013973","Gycbeta100B",119,"FALSE","promoter",2
"105","chr3R",7265614,7265813,200,"*","lola_i_peaks_1_peak_1133",426.26761,"FBgn0001112","Gld",10,"FALSE","promoter",2
"106","chrX",17968268,17968467,200,"*","lola_i_peaks_1_peak_1701",415.40353,"FBgn0003380","Sh",1142,"TRUE","distal",3
"107","chrX",14831938,14832137,200,"*","lola_i_peaks_1_peak_1663",413.99646,"FBgn0030581","CG14408",4,"FALSE","promoter",3
"108","chrX",10319211,10319410,200,"*","lola_i_peaks_1_peak_1624",412.59042,"FBgn0259170","alpha-Man-Ia",6646,"TRUE","distal",3
"109","chr2L",4661031,4661230,200,"*","lola_i_peaks_1_peak_89",409.78152,"FBgn0284415","lncRNA:TS6",4921,"FALSE","distal",1
"110","chr2R",15657864,15658063,200,"*","lola_i_peaks_1_peak_542",404.04187,"FBgn0023441","fus",897,"TRUE","distal",1
"111","chr2R",22373236,22373435,200,"*","lola_i_peaks_1_peak_646",402.77759,"FBgn0034720","Liprin-gamma",226,"FALSE","promoter",1
"112","chr3L",3752815,3753014,200,"*","lola_i_peaks_1_peak_770",390.23758,"FBgn0052264","CG32264",2285,"TRUE","distal",6
"113","chr2R",18523940,18524139,200,"*","lola_i_peaks_1_peak_584",388.4227,"FBgn0262476","CG43066",3389,"TRUE","distal",1
"114","chr2R",24685078,24685277,200,"*","lola_i_peaks_1_peak_701",387.11246,"FBgn0035049","Mmp1",87,"TRUE","promoter",3
"115","chr2L",19756845,19757044,200,"*","lola_i_peaks_1_peak_289",384.18396,"FBgn0032817","CG10631",40,"FALSE","promoter",3
"116","chr2R",20618152,20618351,200,"*","lola_i_peaks_1_peak_616",382.95248,"FBgn0050147","Hil",34,"FALSE","promoter",4
"117","chr2L",8888922,8889121,200,"*","lola_i_peaks_1_peak_154",380.54483,"FBgn0265588","lncRNA:CR44415",993,"FALSE","distal",1
"118","chr3R",27561248,27561447,200,"*","lola_i_peaks_1_peak_1438",380.54483,"FBgn0039525","CG5646",28,"FALSE","promoter",1
"119","chr2L",6465579,6465778,200,"*","lola_i_peaks_1_peak_119",378.86792,"FBgn0031816","Rchy1",9,"FALSE","promoter",2
"120","chr2L",14851742,14851941,200,"*","lola_i_peaks_1_peak_229",377.66177,"FBgn0028886","CG15279",92,"FALSE","promoter",1
"121","chr2R",9409404,9409603,200,"*","lola_i_peaks_1_peak_424",371.45142,"FBgn0016078","wun",11,"TRUE","promoter",2
"122","chrX",15298662,15298861,200,"*","lola_i_peaks_1_peak_1669",370.90616,"FBgn0261703","gce",246,"TRUE","promoter",1
"123","chr3R",12221404,12221603,200,"*","lola_i_peaks_1_peak_1215",364.51843,"FBgn0267676","asRNA:CR46012",39,"TRUE","promoter",2
"124","chr3R",12723904,12724103,200,"*","lola_i_peaks_1_peak_1223",361.32254,"FBgn0002719","Men",1561,"FALSE","distal",3
"125","chr2R",7024887,7025086,200,"*","lola_i_peaks_1_peak_361",361.32132,"FBgn0033127","Tsp42Ef",22,"FALSE","promoter",1
"126","chr2L",16041875,16042074,200,"*","lola_i_peaks_1_peak_240",358.5946,"FBgn0000182","BicC",71,"FALSE","promoter",2
"127","chr3L",16884192,16884391,200,"*","lola_i_peaks_1_peak_964",358.5946,"FBgn0261565","Lmpt",2100,"TRUE","distal",3
"128","chr3R",7644529,7644728,200,"*","lola_i_peaks_1_peak_1142",350.43854,"FBgn0083963","Nlg3",5194,"FALSE","distal",1
"129","chr4",557818,558017,200,"*","lola_i_peaks_1_peak_1497",349.66,"FBgn0264618","lncRNA:CR43958",63,"FALSE","promoter",2
"130","chr2R",11222669,11222868,200,"*","lola_i_peaks_1_peak_471",345.57703,"FBgn0033584","CG7737",101,"FALSE","promoter",1
"131","chr2R",13171263,13171462,200,"*","lola_i_peaks_1_peak_497",342.95557,"FBgn0053138","AGBE",37,"FALSE","promoter",3
"132","chr3L",16985627,16985826,200,"*","lola_i_peaks_1_peak_972",341.1293,"FBgn0261547","Exn",907,"TRUE","distal",2
"133","chr3L",18791287,18791486,200,"*","lola_i_peaks_1_peak_1014",339.62936,"FBgn0267601","lncRNA:CR45939",9921,"TRUE","distal",2
"134","chr3L",17533397,17533596,200,"*","lola_i_peaks_1_peak_981",338.28354,"FBgn0259174","Nedd4",8,"TRUE","promoter",1
"135","chr3R",26318061,26318260,200,"*","lola_i_peaks_1_peak_1419",338.08035,"FBgn0053970","CG33970",193,"FALSE","promoter",1
"136","chrX",6050643,6050842,200,"*","lola_i_peaks_1_peak_1588",338.06216,"FBgn0029835","CG5921",84,"FALSE","promoter",2
"137","chrX",1517167,1517366,200,"*","lola_i_peaks_1_peak_1533",336.93893,"FBgn0025394","inc",4196,"TRUE","distal",3
"138","chr3R",11196901,11197100,200,"*","lola_i_peaks_1_peak_1196",336.76562,"FBgn0037870","CG18577",590,"TRUE","distal",2
"139","chr3L",8912405,8912604,200,"*","lola_i_peaks_1_peak_863",333.74768,"FBgn0266757","mfr",5,"TRUE","promoter",2
"140","chrX",12785048,12785247,200,"*","lola_i_peaks_1_peak_1640",332.91232,"FBgn0052647","CG32647",189,"FALSE","promoter",4
"141","chr3L",1971194,1971393,200,"*","lola_i_peaks_1_peak_741",331.22046,"FBgn0035299","CG11815",93,"FALSE","promoter",4
"142","chr2R",12955829,12956028,200,"*","lola_i_peaks_1_peak_495",330.64572,"FBgn0033787","CG13321",2375,"FALSE","distal",2
"143","chr3R",30015085,30015284,200,"*","lola_i_peaks_1_peak_1458",323.37729,"FBgn0039737","CG7920",19,"TRUE","promoter",2
"144","chr2L",8709537,8709736,200,"*","lola_i_peaks_1_peak_153",316.93347,"FBgn0004914","Hnf4",25,"FALSE","promoter",1
"145","chr3L",11135890,11136089,200,"*","lola_i_peaks_1_peak_905",311.62341,"FBgn0052082","IRSp53",58,"FALSE","promoter",4
"146","chrX",12967414,12967613,200,"*","lola_i_peaks_1_peak_1643",308.9848,"FBgn0052644","Mur11Da",373,"FALSE","promoter",1
"147","chr3R",23010530,23010729,200,"*","lola_i_peaks_1_peak_1361",307.45486,"FBgn0085404","CG34375",67,"FALSE","promoter",2
"148","chr3L",6103738,6103937,200,"*","lola_i_peaks_1_peak_814",303.72296,"FBgn0005658","Ets65A",1359,"TRUE","distal",1
"149","chr3R",11562872,11563071,200,"*","lola_i_peaks_1_peak_1203",303.28854,"FBgn0037913","fabp",319,"TRUE","distal",2
"150","chr3L",21279930,21280129,200,"*","lola_i_peaks_1_peak_1056",301.12564,"FBgn0012034","AcCoAS",48,"TRUE","promoter",2
"151","chr2R",22297838,22298037,200,"*","lola_i_peaks_1_peak_643",298.19632,"FBgn0034718","wdp",3484,"FALSE","distal",2
"152","chr2R",7735487,7735686,200,"*","lola_i_peaks_1_peak_376",298.1774,"FBgn0042135","CG18812",34,"TRUE","promoter",2
"153","chr2R",11442356,11442555,200,"*","lola_i_peaks_1_peak_474",295.86893,"FBgn0260499","qvr",48,"FALSE","promoter",3
"154","chrX",3930992,3931191,200,"*","lola_i_peaks_1_peak_1569",294.56451,"FBgn0260658","CG42541",513,"FALSE","distal",2
"155","chr2L",7534970,7535169,200,"*","lola_i_peaks_1_peak_131",293.26141,"FBgn0264895","RapGAP1",4495,"TRUE","distal",1
"156","chr2L",6045950,6046149,200,"*","lola_i_peaks_1_peak_113",286.58148,"FBgn0000052","Pfas",0,"TRUE","promoter",3
"157","chr2L",17433172,17433371,200,"*","lola_i_peaks_1_peak_258",285.47064,"FBgn0011274","Dif",110,"FALSE","promoter",4
"158","chr3R",10091000,10091199,200,"*","lola_i_peaks_1_peak_1181",284.83459,"FBgn0262378","mir-317",25,"FALSE","promoter",1
"159","chr2L",20851637,20851836,200,"*","lola_i_peaks_1_peak_312",277.96149,"FBgn0032895","twit",840,"FALSE","distal",2
"160","chr2R",21178942,21179141,200,"*","lola_i_peaks_1_peak_627",273.55438,"FBgn0003162","Pu",75,"TRUE","promoter",2
"161","chr3R",30243568,30243767,200,"*","lola_i_peaks_1_peak_1464",271.31409,"FBgn0039758","CG9737",355,"FALSE","promoter",2
"162","chr2L",3059333,3059532,200,"*","lola_i_peaks_1_peak_71",268.32159,"FBgn0283427","FASN1",2443,"TRUE","distal",3
"163","chrX",2145171,2145370,200,"*","lola_i_peaks_1_peak_1553",266.65967,"FBgn0004654","Pgd",91,"TRUE","promoter",2
"164","chr2L",3056473,3056672,200,"*","lola_i_peaks_1_peak_70",266.28854,"FBgn0283427","FASN1",24,"FALSE","promoter",1
"165","chr3R",7753661,7753860,200,"*","lola_i_peaks_1_peak_1144",265.41144,"FBgn0037513","pyd3",3681,"FALSE","distal",2
"166","chr2L",552499,552698,200,"*","lola_i_peaks_1_peak_18",265.13202,"FBgn0005660","Ets21C",144,"TRUE","promoter",2
"167","chr3L",5926708,5926907,200,"*","lola_i_peaks_1_peak_813",264.7139,"FBgn0053523","CG33523",62,"TRUE","promoter",1
"168","chr3R",6474573,6474772,200,"*","lola_i_peaks_1_peak_1124",263.99609,"FBgn0037448","CG15186",3637,"FALSE","distal",3
"169","chr2L",5341097,5341296,200,"*","lola_i_peaks_1_peak_102",263.66306,"FBgn0031703","CG12512",1036,"TRUE","distal",2
"170","chr2R",24693231,24693430,200,"*","lola_i_peaks_1_peak_703",262.75607,"FBgn0035050","SiaT",1054,"TRUE","distal",1
"171","chr3L",14756318,14756517,200,"*","lola_i_peaks_1_peak_939",262.32623,"FBgn0260233","CG42507",917,"TRUE","distal",1
"172","chr2R",18528674,18528873,200,"*","lola_i_peaks_1_peak_585",259.39587,"FBgn0034356","CG10924",1343,"TRUE","distal",1
"173","chrX",9550839,9551038,200,"*","lola_i_peaks_1_peak_1616",258.08707,"FBgn0267253","CG32700",100,"FALSE","promoter",2
"174","chr3L",4239690,4239889,200,"*","lola_i_peaks_1_peak_786",256.97678,"FBgn0035515","CG14997",382,"FALSE","promoter",4
"175","chr2L",6773766,6773965,200,"*","lola_i_peaks_1_peak_123",256.63147,"FBgn0031858","CG17378",174,"FALSE","promoter",2
"176","chr3R",23191363,23191562,200,"*","lola_i_peaks_1_peak_1365",253.81514,"FBgn0262975","cnc",179,"TRUE","promoter",4
"177","chr3L",4122340,4122539,200,"*","lola_i_peaks_1_peak_783",250.22934,"FBgn0035499","Chd64",51,"FALSE","promoter",2
"178","chr2L",13459077,13459276,200,"*","lola_i_peaks_1_peak_212",248.5155,"FBgn0263354","CG42784",503,"TRUE","distal",4
"179","chr2R",18829599,18829798,200,"*","lola_i_peaks_1_peak_596",247.51962,"FBgn0034396","CG15097",0,"TRUE","promoter",4
"180","chr3L",18032862,18033061,200,"*","lola_i_peaks_1_peak_1003",247.2627,"FBgn0000568","Eip75B",5317,"TRUE","distal",4
"181","chr3L",12203884,12204083,200,"*","lola_i_peaks_1_peak_912",245.97957,"FBgn0022709","Adk1",48,"TRUE","promoter",3
"182","chr3R",26714083,26714282,200,"*","lola_i_peaks_1_peak_1427",243.83411,"FBgn0023179","amon",23,"FALSE","promoter",2
"183","chr3R",31127415,31127614,200,"*","lola_i_peaks_1_peak_1475",243.51323,"FBgn0039820","CG15554",1365,"FALSE","distal",5
"184","chrX",18018640,18018839,200,"*","lola_i_peaks_1_peak_1703",238.53494,"FBgn0003380","Sh",3504,"TRUE","distal",2
"185","chr3L",11070395,11070594,200,"*","lola_i_peaks_1_peak_903",235.78275,"FBgn0263241","Mocs1",30,"FALSE","promoter",3
"186","chr2R",9565116,9565315,200,"*","lola_i_peaks_1_peak_434",235.47467,"FBgn0266819","asRNA:CR45281",25,"FALSE","promoter",1
"187","chr3R",7492300,7492499,200,"*","lola_i_peaks_1_peak_1139",234.47105,"FBgn0015569","alpha-Est10",796,"TRUE","distal",2
"188","chr3R",5523282,5523481,200,"*","lola_i_peaks_1_peak_1111",233.73169,"FBgn0010051","Itp-r83A",53,"TRUE","promoter",1
"189","chr3L",21319790,21319989,200,"*","lola_i_peaks_1_peak_1058",233.17642,"FBgn0086913","Rab26",116,"TRUE","promoter",2
"190","chr2L",1724357,1724556,200,"*","lola_i_peaks_1_peak_40",232.91306,"FBgn0031359","Rim2",68,"FALSE","promoter",1
"191","chr3L",10086424,10086623,200,"*","lola_i_peaks_1_peak_893",231.11325,"FBgn0040823","dpr6",2875,"TRUE","distal",4
"192","chr2L",1043297,1043496,200,"*","lola_i_peaks_1_peak_23",228.6517,"FBgn0031294","IA-2",178,"TRUE","promoter",2
"193","chr2R",9186246,9186445,200,"*","lola_i_peaks_1_peak_418",224.75954,"FBgn0002567","Rab32",3,"FALSE","promoter",2
"194","chr2R",23995004,23995203,200,"*","lola_i_peaks_1_peak_686",223.77687,"FBgn0034951","CG3860",48,"FALSE","promoter",3
"195","chr2L",1649861,1650060,200,"*","lola_i_peaks_1_peak_35",222.52534,"FBgn0086758","chinmo",1296,"FALSE","distal",3
