RE_Locus	A549	Bj	H1hesc	Hepg2	Hsmm	K562	Nhek	Sknshra	Ag04450	Gm12878	Helas3	Hmec	Huvec	Mcf7	Nhlf
chr21:44897802-44898291	NaN	NaN	0	20.635845	0	0	6.549126	NaN	NaN	0	2.929007	9.661147	5.550065	NaN	0
chr21:16582512-16582944	NaN	NaN	0	15.676264	0	0	0	NaN	NaN	1.603744	4.705656	0	0	NaN	0
chr21:44760572-44761004	NaN	NaN	0	0	4.048273	0	0	NaN	NaN	0	7.415156	0	4.235006	NaN	0
chr21:44866101-44866528	NaN	NaN	0	0	0	4.733422	18.054348	NaN	NaN	0	10.382949	0	0	NaN	0
chr21:39649444-39650105	NaN	NaN	0	0	4.214098	0	11.50261	NaN	NaN	2.108015	7.337147	7.661113	0	NaN	3.73052
chr21:17552086-17552431	NaN	NaN	0	0	0	0	0	NaN	NaN	0	8.198245	0	0	NaN	0
chr21:43050503-43050859	NaN	NaN	0	0	0	0	0	NaN	NaN	0	2.06201	1.948724	0	NaN	0
chr21:46783930-46784285	NaN	NaN	2.271448	7.377065	19.348732	13.69849	15.225059	NaN	NaN	0	9.187799	11.612634	6.249376	NaN	0
chr21:44761225-44761652	NaN	NaN	0	0	4.048273	0	0	NaN	NaN	0	7.415156	0	0	NaN	0
chr21:38230667-38230968	NaN	NaN	0	17.613062	0	0	0	NaN	NaN	0	0	0	0	NaN	0
chr21:16596679-16596983	NaN	NaN	0	0	0	0	16.150339	NaN	NaN	0	0	0	0	NaN	1.741027
chr21:16250022-16250401	NaN	NaN	0	7.401286	0	0	0	NaN	NaN	12.209533	0	0	6.286709	NaN	0
chr21:37850515-37850820	NaN	NaN	0	35.597589	6.999541	0	0	NaN	NaN	5.109424	4.978561	0	9.189874	NaN	0
chr21:40159470-40159766	NaN	NaN	0	31.517547	0	15.333836	9.382678	NaN	NaN	7.900286	15.511801	14.278607	0	NaN	0
chr21:17936129-17936429	NaN	NaN	0	0	0	0	0	NaN	NaN	0	11.581183	9.661147	0	NaN	0
chr21:44922977-44923355	NaN	NaN	0	5.257458	3.039403	0	0	NaN	NaN	0	11.197973	0	0	NaN	0
chr21:44847034-44847331	NaN	NaN	0	31.766117	19.36955	0	26.977632	NaN	NaN	12.145798	23.000121	36.55251	13.406553	NaN	12.354852
chr21:45020574-45020861	NaN	NaN	0	0	2.335935	0	19.105956	NaN	NaN	0	1.987167	5.619783	0	NaN	1.642255
chr21:33836207-33836567	NaN	NaN	0	0	15.558191	0	0	NaN	NaN	0	8.646088	3.524678	10.517033	NaN	11.144049
chr21:16594147-16594487	NaN	NaN	0	11.481598	0	0	0	NaN	NaN	7.270064	0	0	0	NaN	1.741027
chr21:45148312-45148500	NaN	NaN	17.065465	28.679689	12.927725	13.989485	14.452659	NaN	NaN	16.696968	32.786525	16.865054	7.730137	NaN	10.460467
chr21:37843647-37843921	NaN	NaN	0	0	0	0	0	NaN	NaN	4.562795	4.785967	0	0	NaN	0
chr21:44751993-44752310	NaN	NaN	0	14.396742	9.402279	0	0	NaN	NaN	0	13.740635	0	0	NaN	0
chr21:44914526-44914700	NaN	NaN	0	16.371908	3.039403	0	0	NaN	NaN	0	6.504256	0	0	NaN	2.00535
chr21:44910389-44910656	NaN	NaN	0	0	3.039403	0	0	NaN	NaN	0	4.247281	0	0	NaN	0
chr21:45029622-45029781	NaN	NaN	0	17.914451	2.335935	0	0	NaN	NaN	0	0	4.544206	0	NaN	1.642255
chr21:40173343-40173560	NaN	NaN	8.007117	0	0	13.615389	12.140339	NaN	NaN	0	0	16.426572	0	NaN	8.115597
chr21:36250861-36251096	NaN	NaN	0	0	0	4.285616	26.102736	NaN	NaN	0	0	56.929822	0	NaN	27.749346
chr21:39715694-39715953	NaN	NaN	0	0	0	0	0	NaN	NaN	0	13.727294	0	10.441341	NaN	0
chr21:36208424-36208675	NaN	NaN	0	10.711982	6.151871	0	0	NaN	NaN	0	10.802805	0	8.796096	NaN	11.20445
chr21:44848097-44848369	NaN	NaN	0	0	19.36955	0	26.977632	NaN	NaN	12.145798	23.000121	36.55251	13.406553	NaN	12.354852
chr21:40466935-40467475	NaN	NaN	0	5.297133	0	0	0	NaN	NaN	0	0	0	0	NaN	0
chr21:44884986-44885252	NaN	NaN	0	0	0	0	0	NaN	NaN	0	2.929007	0	0	NaN	0
chr21:45066430-45066634	NaN	NaN	0	13.459597	0	13.428389	15.261746	NaN	NaN	11.415914	11.365847	0	4.140184	NaN	0
chr21:46785642-46786182	NaN	NaN	2.271448	22.881548	10.205974	0	0	NaN	NaN	0	0	0	0	NaN	0
chr21:34790033-34790174	NaN	NaN	0	0	0	0	0	NaN	NaN	0	0	0	0	NaN	0
chr21:16583781-16584321	NaN	NaN	0	15.676264	0	0	0	NaN	NaN	1.603744	0	0	0	NaN	0
chr21:34576101-34576641	NaN	NaN	0	14.765803	5.957924	0	0	NaN	NaN	2.959336	4.741133	0	0	NaN	0
chr21:36254015-36254555	NaN	NaN	0	0	39.730732	4.285616	26.102736	NaN	NaN	12.209533	29.604343	56.929822	48.403891	NaN	27.749346
chr21:39355950-39356490	NaN	NaN	0	0	0	0	0	NaN	NaN	0	0	0	0	NaN	0
chr21:38299550-38300090	NaN	NaN	0	0	0	0	0	NaN	NaN	0	0	0	0	NaN	4.468862
chr21:46797947-46798487	NaN	NaN	4.654676	0	0	0	0	NaN	NaN	0	12.592086	0	0	NaN	0
chr21:45011427-45011967	NaN	NaN	0	4.340958	0	0	10.877065	NaN	NaN	0	0	0	0	NaN	0
chr21:39631259-39631799	NaN	NaN	0	0	0	0	22.781004	NaN	NaN	2.108015	0	26.916939	0	NaN	0
chr21:16431215-16431755	NaN	NaN	0	35.216463	32.768613	15.896315	14.330284	NaN	NaN	14.498694	4.762736	38.364694	12.161433	NaN	18.092371
chr21:39630998-39631538	NaN	NaN	0	0	0	0	22.781004	NaN	NaN	2.108015	0	26.916939	0	NaN	0
chr21:27539127-27539667	NaN	NaN	27.951116	30.701971	70.379782	0	26.713712	NaN	NaN	10.938767	34.046712	45.292259	52.779562	NaN	26.643061
chr21:37802299-37802839	NaN	NaN	4.57451	12.180062	11.725142	12.431209	10.80713	NaN	NaN	7.728642	9.79172	13.369298	42.362642	NaN	0
chr21:44630088-44630628	NaN	NaN	0	23.980096	0	0	0	NaN	NaN	0	10.545995	0	0	NaN	0
chr21:43135734-43136274	NaN	NaN	2.594052	27.311848	0	0	14.153351	NaN	NaN	0	5.617708	3.609797	0	NaN	0
chr21:17542063-17542603	NaN	NaN	0	0	0	0	0	NaN	NaN	0	10.00409	0	0	NaN	0
chr21:38936548-38937088	NaN	NaN	6.917155	15.710417	38.392049	20.698828	25.635436	NaN	NaN	15.922742	17.495837	19.572839	18.517957	NaN	12.612908
chr21:35898944-35899484	NaN	NaN	2.378076	19.193426	18.176371	0	28.671908	NaN	NaN	13.316548	13.139083	20.192315	35.124239	NaN	8.594405
chr21:39633686-39634226	NaN	NaN	0	0	0	0	0	NaN	NaN	2.108015	0	0	0	NaN	1.914244
chr21:27512408-27512948	NaN	NaN	0	0	3.728285	0	0	NaN	NaN	0	4.526491	3.505867	5.359375	NaN	0
chr21:44917911-44918451	NaN	NaN	0	0	3.039403	0	6.496025	NaN	NaN	0	9.8504	0	0	NaN	2.00535
chr21:44897802-44898295	NaN	NaN	0	20.635845	0	0	6.549126	NaN	NaN	0	2.929007	9.661147	5.550065	NaN	0
chr21:39675108-39675648	NaN	NaN	0	0	0	0	0	NaN	NaN	0	0	0	0	NaN	0
chr21:41005533-41006073	NaN	NaN	1.954879	0	6.327924	0	0	NaN	NaN	0	0	0	0	NaN	4.952911
chr21:43178564-43179104	NaN	NaN	0	0	0	0	0	NaN	NaN	0	0	0	0	NaN	0
chr21:46847510-46848050	NaN	NaN	0	14.879927	6.032321	0	0	NaN	NaN	0	5.682638	8.609367	0	NaN	0
chr21:16594329-16594869	NaN	NaN	0	11.481598	0	0	11.154791	NaN	NaN	7.270064	0	0	0	NaN	1.741027
chr21:18899436-18899976	NaN	NaN	0	4.639482	0	0	0	NaN	NaN	0	0	0	16.528764	NaN	0
chr21:40170378-40170918	NaN	NaN	0	0	0	8.067997	12.140339	NaN	NaN	0	6.374271	0	0	NaN	0
chr21:46470639-46471179	NaN	NaN	1.849255	0	7.40303	1.636823	0	NaN	NaN	0	10.419981	0	0	NaN	4.684359
chr21:39414513-39415053	NaN	NaN	0	0	0	0	0	NaN	NaN	0	1.368219	0	0	NaN	0
chr21:40159569-40160109	NaN	NaN	0	31.517547	0	15.333836	9.382678	NaN	NaN	7.900286	15.511801	14.278607	0	NaN	0
chr21:17613836-17614376	NaN	NaN	0	0	0	0	0	NaN	NaN	0	0	0	12.940123	NaN	0
chr21:45059581-45060121	NaN	NaN	0	0	0	4.181076	0	NaN	NaN	0	0	0	0	NaN	0
chr21:16564472-16565012	NaN	NaN	0	0	0	0	0	NaN	NaN	0	0	0	0	NaN	0
chr21:37810039-37810579	NaN	NaN	0	0	0	15.637476	0	NaN	NaN	0	0	0	14.422065	NaN	0
chr21:44839298-44839838	NaN	NaN	0	0	19.36955	0	0	NaN	NaN	0	23.000121	0	0	NaN	0
chr21:17496646-17497186	NaN	NaN	0	0	0	0	19.488076	NaN	NaN	0	11.261241	0	0	NaN	0
chr21:39723748-39724288	NaN	NaN	0	0	8.812045	0	16.468796	NaN	NaN	5.329558	8.703053	5.284056	14.492589	NaN	12.221859
chr21:34144081-34144621	NaN	NaN	25.087594	35.792334	39.587707	24.1328	30.807205	NaN	NaN	5.482764	23.98722	42.578017	49.458867	NaN	23.497644
chr21:17031986-17032526	NaN	NaN	0	12.968599	0	0	0	NaN	NaN	0	0	0	0	NaN	0
chr21:39664273-39664813	NaN	NaN	0	0	0	0	0	NaN	NaN	0	0	0	0	NaN	2.224825
chr21:16512776-16513316	NaN	NaN	0	10.193091	0	0	0	NaN	NaN	0	0	0	0	NaN	0
chr21:36184659-36185199	NaN	NaN	0	0	2.744125	0	0	NaN	NaN	1.599917	2.753965	0	0	NaN	0
chr21:40211470-40212010	NaN	NaN	0	0	13.90923	0	18.044514	NaN	NaN	0	5.436749	0	0	NaN	8.015397
chr21:17452069-17452609	NaN	NaN	0	0	0	0	0	NaN	NaN	0	11.881608	0	0	NaN	0
chr21:41879863-41880403	NaN	NaN	0	0	0	0	0	NaN	NaN	0	0	0	0	NaN	1.152477
chr21:35574169-35574709	NaN	NaN	14.699981	30.225422	12.279626	10.644674	8.590717	NaN	NaN	5.514342	4.86135	12.541812	13.697932	NaN	10.313545
chr21:40225250-40225790	NaN	NaN	0	0	0	0	6.730576	NaN	NaN	0	7.751707	4.754469	1.959044	NaN	0
chr21:16250309-16250480	NaN	NaN	0	0	0	0	0	NaN	NaN	0	0	0	6.286709	NaN	0
chr21:16251252-16251792	NaN	NaN	0	13.656567	0	0	0	NaN	NaN	0	0	0	10.110205	NaN	0
chr21:34576303-34576843	NaN	NaN	0	14.765803	5.957924	0	0	NaN	NaN	2.959336	4.741133	0	0	NaN	0
chr21:35133808-35134348	NaN	NaN	0	0	4.120509	10.54789	3.995277	NaN	NaN	0	7.50929	0	19.735395	NaN	14.294787
chr21:44832115-44832655	NaN	NaN	0	11.198385	0	0	4.757409	NaN	NaN	0	14.139113	0	0	NaN	0
chr21:43032924-43033464	NaN	NaN	0	12.620269	11.58378	0	14.525274	NaN	NaN	0	6.407937	3.601033	0	NaN	4.588263
chr21:33814786-33815326	NaN	NaN	0	0	0	0	0	NaN	NaN	0	6.750159	0	5.76602	NaN	0
chr21:36179699-36180239	NaN	NaN	0	0	2.744125	0	21.259719	NaN	NaN	1.599917	2.753965	3.565719	5.339067	NaN	0
chr21:18375468-18376008	NaN	NaN	0	0	0	0	0	NaN	NaN	0	0	0	0	NaN	5.211003
chr21:40166004-40166544	NaN	NaN	0	0	0	6.39743	12.140339	NaN	NaN	0	0	0	0	NaN	0
chr21:33805254-33805794	NaN	NaN	0	7.248667	0	0	0	NaN	NaN	0	0	0	0	NaN	0
chr21:40685345-40685885	NaN	NaN	20.677093	38.39939	50.009881	23.291826	19.323619	NaN	NaN	18.890406	18.294155	33.088872	19.444342	NaN	19.305929
chr21:44752164-44752704	NaN	NaN	0	14.396742	9.402279	0	9.738567	NaN	NaN	0	13.740635	0	0	NaN	0
chr21:34659330-34659870	NaN	NaN	0	17.602911	0	0	17.571216	NaN	NaN	0	12.224442	0	0	NaN	13.125213
chr21:38282895-38283232	NaN	NaN	0	0	15.868192	0	0	NaN	NaN	0	5.128305	0	0	NaN	10.416836
chr21:44866101-44866545	NaN	NaN	0	0	0	4.733422	18.054348	NaN	NaN	0	10.382949	0	0	NaN	0
chr21:40173377-40173917	NaN	NaN	8.007117	0	0	13.615389	12.140339	NaN	NaN	0	0	16.426572	0	NaN	8.115597
chr21:36167772-36168312	NaN	NaN	0	13.092014	4.450463	0	3.158126	NaN	NaN	0	4.464183	0	0	NaN	0
chr21:43188587-43189127	NaN	NaN	13.530991	33.703886	10.407213	0	29.480757	NaN	NaN	4.150467	15.087468	39.071859	11.708581	NaN	6.293606
chr21:45010042-45010582	NaN	NaN	0	0	0	0	10.877065	NaN	NaN	0	0	0	0	NaN	0
chr21:33829737-33830277	NaN	NaN	0	16.144212	0	0	0	NaN	NaN	0	6.765126	0	3.950104	NaN	0
chr21:17126871-17127411	NaN	NaN	4.316052	6.503631	0	5.546324	6.432957	NaN	NaN	1.60242	0	0	5.132008	NaN	1.672635
chr21:43097873-43098173	NaN	NaN	0	18.886304	0	3.617194	12.210927	NaN	NaN	0	13.169192	12.217246	0	NaN	0
chr21:46739402-46739942	NaN	NaN	0	0	6.500342	0	0	NaN	NaN	0	9.021221	0	4.489146	NaN	1.929115
chr21:46470869-46471409	NaN	NaN	1.849255	0	7.40303	1.636823	0	NaN	NaN	0	10.419981	0	0	NaN	4.684359
chr21:17566157-17566697	NaN	NaN	0	0	10.734759	0	0	NaN	NaN	8.957437	22.277695	9.3947	43.991154	NaN	9.122076
chr21:44835566-44836106	NaN	NaN	0	8.551494	19.36955	0	4.207036	NaN	NaN	0	23.000121	0	0	NaN	0
chr21:43104409-43104949	NaN	NaN	0	7.416149	10.258915	0	10.213297	NaN	NaN	0	10.645465	8.372168	0	NaN	3.564558
chr21:16814983-16815523	NaN	NaN	0	16.352604	0	0	0	NaN	NaN	3.330617	0	0	0	NaN	0
chr21:35055562-35056102	NaN	NaN	0	0	4.239106	2.009258	10.317216	NaN	NaN	0	8.530385	5.577177	13.685354	NaN	4.583408
