TSS_ID	TSS_Locus	Strand	RE_Locus	Correlation	Score	RE_Score	Best_RE	TSS_Score	Best_TSS	Gene_Score	Distance	Histone	Best_Histone	Gene_ID	Gene_Name	Loci_per_TSS	Num_TSSes	TSSes_per_Gene	Num_Genes
ENST00000445461	chr21:17566788-17566788	+	chr21:17552086-17552431	0.96127	8.680e-05	6.944e-04	T	1.279e-01	T	1.904e-01	-14357	H3k27ac	T	ENSG00000215386	C21orf34	8	197	4	76
ENST00000445461	chr21:17566788-17566788	+	chr21:17566157-17566697	0.60857	1.576e-01	6.944e-04	F	1.279e-01	F	1.904e-01	-91	H3k27ac	T	ENSG00000215386	C21orf34	8	197	4	76
ENST00000445461	chr21:17566788-17566788	+	chr21:17566157-17566697	0.65538	1.166e-01	6.944e-04	F	1.279e-01	F	1.904e-01	-91	H3k4me3	F	ENSG00000215386	C21orf34	8	197	4	76
ENST00000445461	chr21:17566788-17566788	+	chr21:17613836-17614376	0.11153	8.228e-01	6.944e-04	F	1.279e-01	F	1.904e-01	47048	H3k27ac	T	ENSG00000215386	C21orf34	8	197	4	76
ENST00000445461	chr21:17566788-17566788	+	chr21:17936129-17936429	0.87498	6.771e-03	6.944e-04	F	1.279e-01	F	1.904e-01	369341	H3k27ac	T	ENSG00000215386	C21orf34	8	197	4	76
ENST00000445461	chr21:17566788-17566788	+	chr21:17126871-17127411	-0.33407	4.872e-01	6.944e-04	F	1.279e-01	F	1.904e-01	-439377	H3k27ac	T	ENSG00000215386	C21orf34	8	197	4	76
ENST00000400166	chr21:18885364-18885364	+	chr21:18899436-18899976	0.89284	4.085e-03	4.085e-03	T	5.535e-01	T	2.674e-01	14072	H3k27ac	T	ENSG00000154639	CXADR	1	197	1	76
ENST00000329618	chr21:40984747-40984747	-	chr21:40685345-40685885	-0.88681	4.899e-03	4.899e-03	T	6.200e-01	T	3.115e-01	298862	H3k27ac	T	ENSG00000184809	C21orf88	1	197	1	76
ENST00000419952	chr21:17566699-17566699	+	chr21:17496646-17497186	0.52211	2.467e-01	7.996e-03	F	7.943e-01	F	1.904e-01	-69513	H3k27ac	T	ENSG00000215386	C21orf34	8	197	4	76
ENST00000419952	chr21:17566699-17566699	+	chr21:17542063-17542603	0.87344	7.042e-03	7.996e-03	F	7.943e-01	F	1.904e-01	-24096	H3k27ac	T	ENSG00000215386	C21orf34	8	197	4	76
ENST00000419952	chr21:17566699-17566699	+	chr21:17552086-17552431	0.87344	7.042e-03	7.996e-03	F	7.943e-01	F	1.904e-01	-14268	H3k27ac	T	ENSG00000215386	C21orf34	8	197	4	76
ENST00000419952	chr21:17566699-17566699	+	chr21:17566157-17566697	0.70675	7.819e-02	7.996e-03	F	7.943e-01	F	1.904e-01	-2	H3k27ac	T	ENSG00000215386	C21orf34	8	197	4	76
ENST00000419952	chr21:17566699-17566699	+	chr21:17566157-17566697	0.76848	4.203e-02	7.996e-03	F	7.943e-01	F	1.904e-01	-2	H3k4me3	F	ENSG00000215386	C21orf34	8	197	4	76
ENST00000419952	chr21:17566699-17566699	+	chr21:17613836-17614376	0.33454	4.865e-01	7.996e-03	F	7.943e-01	F	1.904e-01	47137	H3k27ac	T	ENSG00000215386	C21orf34	8	197	4	76
ENST00000419952	chr21:17566699-17566699	+	chr21:17936129-17936429	0.92814	1.003e-03	7.996e-03	T	7.943e-01	F	1.904e-01	369430	H3k27ac	T	ENSG00000215386	C21orf34	8	197	4	76
ENST00000419952	chr21:17566699-17566699	+	chr21:17126871-17127411	-0.24344	6.193e-01	7.996e-03	F	7.943e-01	F	1.904e-01	-439288	H3k27ac	T	ENSG00000215386	C21orf34	8	197	4	76
ENST00000485550	chr21:40720522-40720522	-	chr21:40225250-40225790	0.25655	5.997e-01	1.617e-02	F	9.597e-01	F	9.998e-01	494732	H3k27ac	T	ENSG00000205581	HMGN1	3	197	7	76
ENST00000485550	chr21:40720522-40720522	-	chr21:40466935-40467475	-0.38340	4.190e-01	1.617e-02	F	9.597e-01	F	9.998e-01	253047	H3k27ac	T	ENSG00000205581	HMGN1	3	197	7	76
ENST00000485550	chr21:40720522-40720522	-	chr21:40685345-40685885	-0.88328	5.420e-03	1.617e-02	T	9.597e-01	T	9.998e-01	34637	H3k27ac	T	ENSG00000205581	HMGN1	3	197	7	76
ENST00000270162	chr21:44847007-44847007	-	chr21:44630088-44630628	0.65339	1.182e-01	1.754e-02	F	9.694e-01	F	7.395e-01	216379	H3k27ac	T	ENSG00000142178	SIK1	35	197	1	76
ENST00000270162	chr21:44847007-44847007	-	chr21:44751993-44752310	0.46868	3.093e-01	1.754e-02	F	9.694e-01	F	7.395e-01	94697	H3k27ac	T	ENSG00000142178	SIK1	35	197	1	76
ENST00000270162	chr21:44847007-44847007	-	chr21:44752164-44752704	0.76500	4.377e-02	1.754e-02	F	9.694e-01	F	7.395e-01	94303	H3k27ac	T	ENSG00000142178	SIK1	35	197	1	76
ENST00000270162	chr21:44847007-44847007	-	chr21:44753164-44753648	0.84564	1.309e-02	1.754e-02	F	9.694e-01	F	7.395e-01	93359	H3k27ac	T	ENSG00000142178	SIK1	35	197	1	76
ENST00000270162	chr21:44847007-44847007	-	chr21:44760572-44761004	0.64700	1.235e-01	1.754e-02	F	9.694e-01	F	7.395e-01	86003	H3k27ac	T	ENSG00000142178	SIK1	35	197	1	76
ENST00000270162	chr21:44847007-44847007	-	chr21:44761225-44761652	0.63560	1.332e-01	1.754e-02	F	9.694e-01	F	7.395e-01	85355	H3k27ac	T	ENSG00000142178	SIK1	35	197	1	76
ENST00000270162	chr21:44847007-44847007	-	chr21:44762737-44763466	0.62219	1.451e-01	1.754e-02	F	9.694e-01	F	7.395e-01	83541	H3k27ac	T	ENSG00000142178	SIK1	35	197	1	76
ENST00000270162	chr21:44847007-44847007	-	chr21:44764159-44764667	0.86761	8.130e-03	1.754e-02	F	9.694e-01	F	7.395e-01	82340	H3k27ac	T	ENSG00000142178	SIK1	35	197	1	76
ENST00000270162	chr21:44847007-44847007	-	chr21:44832115-44832655	0.87989	5.950e-03	1.754e-02	F	9.694e-01	F	7.395e-01	14352	H3k27ac	T	ENSG00000142178	SIK1	35	197	1	76
ENST00000270162	chr21:44847007-44847007	-	chr21:44835566-44836106	0.79290	3.090e-02	1.754e-02	F	9.694e-01	F	7.395e-01	10901	H3k27ac	T	ENSG00000142178	SIK1	35	197	1	76
ENST00000270162	chr21:44847007-44847007	-	chr21:44839298-44839838	0.94010	5.056e-04	1.754e-02	T	9.694e-01	T	7.395e-01	7169	H3k27ac	T	ENSG00000142178	SIK1	35	197	1	76
ENST00000270162	chr21:44847007-44847007	-	chr21:44847034-44847331	0.57597	1.892e-01	1.754e-02	F	9.694e-01	F	7.395e-01	-27	H3k27ac	T	ENSG00000142178	SIK1	35	197	1	76
ENST00000270162	chr21:44847007-44847007	-	chr21:44847034-44847331	0.69778	8.436e-02	1.754e-02	F	9.694e-01	F	7.395e-01	-27	H3k4me3	F	ENSG00000142178	SIK1	35	197	1	76
ENST00000270162	chr21:44847007-44847007	-	chr21:44848097-44848369	0.69854	8.383e-02	1.754e-02	F	9.694e-01	F	7.395e-01	-1090	H3k27ac	T	ENSG00000142178	SIK1	35	197	1	76
ENST00000270162	chr21:44847007-44847007	-	chr21:44860418-44861441	0.58656	1.787e-01	1.754e-02	F	9.694e-01	F	7.395e-01	-13411	H3k27ac	T	ENSG00000142178	SIK1	35	197	1	76
ENST00000270162	chr21:44847007-44847007	-	chr21:44866101-44866528	0.69170	8.868e-02	1.754e-02	F	9.694e-01	F	7.395e-01	-19094	H3k27ac	T	ENSG00000142178	SIK1	35	197	1	76
ENST00000270162	chr21:44847007-44847007	-	chr21:44866101-44866545	0.69170	8.868e-02	1.754e-02	F	9.694e-01	F	7.395e-01	-19094	H3k27ac	T	ENSG00000142178	SIK1	35	197	1	76
ENST00000270162	chr21:44847007-44847007	-	chr21:44884986-44885252	0.32016	5.069e-01	1.754e-02	F	9.694e-01	F	7.395e-01	-37979	H3k27ac	T	ENSG00000142178	SIK1	35	197	1	76
ENST00000270162	chr21:44847007-44847007	-	chr21:44897802-44898291	0.69124	8.901e-02	1.754e-02	F	9.694e-01	F	7.395e-01	-50795	H3k27ac	T	ENSG00000142178	SIK1	35	197	1	76
ENST00000270162	chr21:44847007-44847007	-	chr21:44897802-44898295	0.69124	8.901e-02	1.754e-02	F	9.694e-01	F	7.395e-01	-50795	H3k27ac	T	ENSG00000142178	SIK1	35	197	1	76
ENST00000270162	chr21:44847007-44847007	-	chr21:44914526-44914700	0.67317	1.025e-01	1.754e-02	F	9.694e-01	F	7.395e-01	-67519	H3k27ac	T	ENSG00000142178	SIK1	35	197	1	76
ENST00000270162	chr21:44847007-44847007	-	chr21:44917911-44918451	0.88869	4.636e-03	1.754e-02	F	9.694e-01	F	7.395e-01	-70904	H3k27ac	T	ENSG00000142178	SIK1	35	197	1	76
ENST00000270162	chr21:44847007-44847007	-	chr21:44922239-44922750	0.77173	4.045e-02	1.754e-02	F	9.694e-01	F	7.395e-01	-75232	H3k27ac	T	ENSG00000142178	SIK1	35	197	1	76
ENST00000270162	chr21:44847007-44847007	-	chr21:44922977-44923355	0.79824	2.871e-02	1.754e-02	F	9.694e-01	F	7.395e-01	-75970	H3k27ac	T	ENSG00000142178	SIK1	35	197	1	76
ENST00000270162	chr21:44847007-44847007	-	chr21:44936642-44937264	0.77698	3.795e-02	1.754e-02	F	9.694e-01	F	7.395e-01	-89635	H3k27ac	T	ENSG00000142178	SIK1	35	197	1	76
ENST00000270162	chr21:44847007-44847007	-	chr21:45005896-45006413	0.53060	2.372e-01	1.754e-02	F	9.694e-01	F	7.395e-01	-158889	H3k27ac	T	ENSG00000142178	SIK1	35	197	1	76
ENST00000270162	chr21:44847007-44847007	-	chr21:45010042-45010582	0.55557	2.103e-01	1.754e-02	F	9.694e-01	F	7.395e-01	-163035	H3k27ac	T	ENSG00000142178	SIK1	35	197	1	76
ENST00000270162	chr21:44847007-44847007	-	chr21:45011427-45011967	0.55557	2.103e-01	1.754e-02	F	9.694e-01	F	7.395e-01	-164420	H3k27ac	T	ENSG00000142178	SIK1	35	197	1	76
ENST00000270162	chr21:44847007-44847007	-	chr21:45020574-45020861	0.81605	2.204e-02	1.754e-02	F	9.694e-01	F	7.395e-01	-173567	H3k27ac	T	ENSG00000142178	SIK1	35	197	1	76
ENST00000270162	chr21:44847007-44847007	-	chr21:45029622-45029781	0.47754	2.985e-01	1.754e-02	F	9.694e-01	F	7.395e-01	-182615	H3k27ac	T	ENSG00000142178	SIK1	35	197	1	76
ENST00000270162	chr21:44847007-44847007	-	chr21:45059581-45060121	0.89287	4.081e-03	1.754e-02	F	9.694e-01	F	7.395e-01	-212574	H3k27ac	T	ENSG00000142178	SIK1	35	197	1	76
ENST00000270162	chr21:44847007-44847007	-	chr21:45066430-45066634	0.75451	4.922e-02	1.754e-02	F	9.694e-01	F	7.395e-01	-219423	H3k27ac	T	ENSG00000142178	SIK1	35	197	1	76
ENST00000270162	chr21:44847007-44847007	-	chr21:45132032-45132841	0.77018	4.120e-02	1.754e-02	F	9.694e-01	F	7.395e-01	-285025	H3k27ac	T	ENSG00000142178	SIK1	35	197	1	76
ENST00000270162	chr21:44847007-44847007	-	chr21:44910389-44910656	-0.31647	5.122e-01	1.754e-02	F	9.694e-01	F	7.395e-01	-63382	H3k27ac	T	ENSG00000142178	SIK1	35	197	1	76
ENST00000270162	chr21:44847007-44847007	-	chr21:45148312-45148500	-0.27197	5.769e-01	1.754e-02	F	9.694e-01	F	7.395e-01	-301305	H3k27ac	T	ENSG00000142178	SIK1	35	197	1	76
ENST00000481638	chr21:33785072-33785072	+	chr21:33814786-33815326	0.89487	3.831e-03	1.901e-02	T	9.772e-01	F	1.927e-07	29714	H3k27ac	T	ENSG00000166979	C21orf63	5	197	4	76
ENST00000481638	chr21:33785072-33785072	+	chr21:33829737-33830277	0.67371	1.020e-01	1.901e-02	F	9.772e-01	F	1.927e-07	44665	H3k27ac	T	ENSG00000166979	C21orf63	5	197	4	76
ENST00000481638	chr21:33785072-33785072	+	chr21:33836207-33836567	0.61238	1.540e-01	1.901e-02	F	9.772e-01	F	1.927e-07	51135	H3k27ac	T	ENSG00000166979	C21orf63	5	197	4	76
ENST00000481638	chr21:33785072-33785072	+	chr21:34144081-34144621	0.17492	7.237e-01	1.901e-02	F	9.772e-01	F	1.927e-07	359009	H3k27ac	T	ENSG00000166979	C21orf63	5	197	4	76
ENST00000481638	chr21:33785072-33785072	+	chr21:33805254-33805794	-0.35925	4.520e-01	1.901e-02	F	9.772e-01	F	1.927e-07	20182	H3k27ac	T	ENSG00000166979	C21orf63	5	197	4	76
ENST00000498150	chr21:45182098-45182098	+	chr21:44753164-44753648	0.07003	8.884e-01	1.953e-02	F	9.795e-01	F	9.975e-01	-428450	H3k27ac	T	ENSG00000160209	PDXK	33	197	4	76
ENST00000498150	chr21:45182098-45182098	+	chr21:44835566-44836106	0.24510	6.168e-01	1.953e-02	F	9.795e-01	F	9.975e-01	-345992	H3k27ac	T	ENSG00000160209	PDXK	33	197	4	76
ENST00000498150	chr21:45182098-45182098	+	chr21:44848097-44848369	0.16697	7.360e-01	1.953e-02	F	9.795e-01	F	9.975e-01	-333729	H3k27ac	T	ENSG00000160209	PDXK	33	197	4	76
ENST00000498150	chr21:45182098-45182098	+	chr21:44860418-44861441	0.58769	1.776e-01	1.953e-02	F	9.795e-01	F	9.975e-01	-320657	H3k27ac	T	ENSG00000160209	PDXK	33	197	4	76
ENST00000498150	chr21:45182098-45182098	+	chr21:44866101-44866528	0.53155	2.362e-01	1.953e-02	F	9.795e-01	F	9.975e-01	-315570	H3k27ac	T	ENSG00000160209	PDXK	33	197	4	76
ENST00000498150	chr21:45182098-45182098	+	chr21:44866101-44866545	0.53155	2.362e-01	1.953e-02	F	9.795e-01	F	9.975e-01	-315553	H3k27ac	T	ENSG00000160209	PDXK	33	197	4	76
ENST00000498150	chr21:45182098-45182098	+	chr21:44884986-44885252	0.93742	5.976e-04	1.953e-02	T	9.795e-01	T	9.975e-01	-296846	H3k27ac	T	ENSG00000160209	PDXK	33	197	4	76
ENST00000498150	chr21:45182098-45182098	+	chr21:44897802-44898291	0.22566	6.461e-01	1.953e-02	F	9.795e-01	F	9.975e-01	-283807	H3k27ac	T	ENSG00000160209	PDXK	33	197	4	76
ENST00000498150	chr21:45182098-45182098	+	chr21:44897802-44898295	0.22566	6.461e-01	1.953e-02	F	9.795e-01	F	9.975e-01	-283803	H3k27ac	T	ENSG00000160209	PDXK	33	197	4	76
ENST00000498150	chr21:45182098-45182098	+	chr21:44914526-44914700	0.29389	5.448e-01	1.953e-02	F	9.795e-01	F	9.975e-01	-267398	H3k27ac	T	ENSG00000160209	PDXK	33	197	4	76
ENST00000498150	chr21:45182098-45182098	+	chr21:44917911-44918451	0.12082	8.081e-01	1.953e-02	F	9.795e-01	F	9.975e-01	-263647	H3k27ac	T	ENSG00000160209	PDXK	33	197	4	76
ENST00000498150	chr21:45182098-45182098	+	chr21:44922239-44922750	0.47114	3.063e-01	1.953e-02	F	9.795e-01	F	9.975e-01	-259348	H3k27ac	T	ENSG00000160209	PDXK	33	197	4	76
ENST00000498150	chr21:45182098-45182098	+	chr21:44922977-44923355	0.58388	1.813e-01	1.953e-02	F	9.795e-01	F	9.975e-01	-258743	H3k27ac	T	ENSG00000160209	PDXK	33	197	4	76
ENST00000498150	chr21:45182098-45182098	+	chr21:44936642-44937264	0.17727	7.201e-01	1.953e-02	F	9.795e-01	F	9.975e-01	-244834	H3k27ac	T	ENSG00000160209	PDXK	33	197	4	76
ENST00000498150	chr21:45182098-45182098	+	chr21:45005896-45006413	0.25851	5.968e-01	1.953e-02	F	9.795e-01	F	9.975e-01	-175685	H3k27ac	T	ENSG00000160209	PDXK	33	197	4	76
ENST00000498150	chr21:45182098-45182098	+	chr21:45010042-45010582	0.51697	2.525e-01	1.953e-02	F	9.795e-01	F	9.975e-01	-171516	H3k27ac	T	ENSG00000160209	PDXK	33	197	4	76
ENST00000498150	chr21:45182098-45182098	+	chr21:45011427-45011967	0.51697	2.525e-01	1.953e-02	F	9.795e-01	F	9.975e-01	-170131	H3k27ac	T	ENSG00000160209	PDXK	33	197	4	76
ENST00000498150	chr21:45182098-45182098	+	chr21:45029622-45029781	0.54523	2.213e-01	1.953e-02	F	9.795e-01	F	9.975e-01	-152317	H3k27ac	T	ENSG00000160209	PDXK	33	197	4	76
ENST00000498150	chr21:45182098-45182098	+	chr21:45148312-45148500	0.46390	3.151e-01	1.953e-02	F	9.795e-01	F	9.975e-01	-33598	H3k27ac	T	ENSG00000160209	PDXK	33	197	4	76
ENST00000498150	chr21:45182098-45182098	+	chr21:44751993-44752310	-0.32239	5.037e-01	1.953e-02	F	9.795e-01	F	9.975e-01	-429788	H3k27ac	T	ENSG00000160209	PDXK	33	197	4	76
ENST00000498150	chr21:45182098-45182098	+	chr21:44752164-44752704	-0.44310	3.410e-01	1.953e-02	F	9.795e-01	F	9.975e-01	-429394	H3k27ac	T	ENSG00000160209	PDXK	33	197	4	76
ENST00000498150	chr21:45182098-45182098	+	chr21:44760572-44761004	-0.48532	2.892e-01	1.953e-02	F	9.795e-01	F	9.975e-01	-421094	H3k27ac	T	ENSG00000160209	PDXK	33	197	4	76
ENST00000498150	chr21:45182098-45182098	+	chr21:44761225-44761652	-0.48417	2.906e-01	1.953e-02	F	9.795e-01	F	9.975e-01	-420446	H3k27ac	T	ENSG00000160209	PDXK	33	197	4	76
ENST00000498150	chr21:45182098-45182098	+	chr21:44762737-44763466	-0.14934	7.635e-01	1.953e-02	F	9.795e-01	F	9.975e-01	-418632	H3k27ac	T	ENSG00000160209	PDXK	33	197	4	76
ENST00000498150	chr21:45182098-45182098	+	chr21:44764159-44764667	-0.26022	5.942e-01	1.953e-02	F	9.795e-01	F	9.975e-01	-417431	H3k27ac	T	ENSG00000160209	PDXK	33	197	4	76
ENST00000498150	chr21:45182098-45182098	+	chr21:44832115-44832655	-0.25610	6.004e-01	1.953e-02	F	9.795e-01	F	9.975e-01	-349443	H3k27ac	T	ENSG00000160209	PDXK	33	197	4	76
ENST00000498150	chr21:45182098-45182098	+	chr21:44839298-44839838	-0.18794	7.036e-01	1.953e-02	F	9.795e-01	F	9.975e-01	-342260	H3k27ac	T	ENSG00000160209	PDXK	33	197	4	76
ENST00000498150	chr21:45182098-45182098	+	chr21:44847034-44847331	-0.52747	2.407e-01	1.953e-02	F	9.795e-01	F	9.975e-01	-334767	H3k27ac	T	ENSG00000160209	PDXK	33	197	4	76
ENST00000498150	chr21:45182098-45182098	+	chr21:44910389-44910656	-0.23579	6.308e-01	1.953e-02	F	9.795e-01	F	9.975e-01	-271442	H3k27ac	T	ENSG00000160209	PDXK	33	197	4	76
ENST00000498150	chr21:45182098-45182098	+	chr21:45020574-45020861	-0.21567	6.612e-01	1.953e-02	F	9.795e-01	F	9.975e-01	-161237	H3k27ac	T	ENSG00000160209	PDXK	33	197	4	76
ENST00000498150	chr21:45182098-45182098	+	chr21:45059581-45060121	-0.20885	6.716e-01	1.953e-02	F	9.795e-01	F	9.975e-01	-121977	H3k27ac	T	ENSG00000160209	PDXK	33	197	4	76
ENST00000498150	chr21:45182098-45182098	+	chr21:45066430-45066634	-0.38655	4.148e-01	1.953e-02	F	9.795e-01	F	9.975e-01	-115464	H3k27ac	T	ENSG00000160209	PDXK	33	197	4	76
ENST00000498150	chr21:45182098-45182098	+	chr21:45132032-45132841	-0.22275	6.505e-01	1.953e-02	F	9.795e-01	F	9.975e-01	-49257	H3k27ac	T	ENSG00000160209	PDXK	33	197	4	76
ENST00000448049	chr21:44866481-44866481	+	chr21:44630088-44630628	0.82598	1.874e-02	3.423e-02	F	9.990e-01	F	9.291e-01	-235853	H3k27ac	T	ENSG00000188660	C21orf125	36	197	1	76
ENST00000448049	chr21:44866481-44866481	+	chr21:44751993-44752310	0.73729	5.889e-02	3.423e-02	F	9.990e-01	F	9.291e-01	-114171	H3k27ac	T	ENSG00000188660	C21orf125	36	197	1	76
ENST00000448049	chr21:44866481-44866481	+	chr21:44752164-44752704	0.65780	1.146e-01	3.423e-02	F	9.990e-01	F	9.291e-01	-113777	H3k27ac	T	ENSG00000188660	C21orf125	36	197	1	76
ENST00000448049	chr21:44866481-44866481	+	chr21:44753164-44753648	0.61365	1.529e-01	3.423e-02	F	9.990e-01	F	9.291e-01	-112833	H3k27ac	T	ENSG00000188660	C21orf125	36	197	1	76
ENST00000448049	chr21:44866481-44866481	+	chr21:44760572-44761004	0.51377	2.561e-01	3.423e-02	F	9.990e-01	F	9.291e-01	-105477	H3k27ac	T	ENSG00000188660	C21orf125	36	197	1	76
ENST00000448049	chr21:44866481-44866481	+	chr21:44761225-44761652	0.52672	2.415e-01	3.423e-02	F	9.990e-01	F	9.291e-01	-104829	H3k27ac	T	ENSG00000188660	C21orf125	36	197	1	76
ENST00000448049	chr21:44866481-44866481	+	chr21:44762737-44763466	0.92886	9.669e-04	3.423e-02	T	9.990e-01	T	9.291e-01	-103015	H3k27ac	T	ENSG00000188660	C21orf125	36	197	1	76
ENST00000448049	chr21:44866481-44866481	+	chr21:44764159-44764667	0.80829	2.482e-02	3.423e-02	F	9.990e-01	F	9.291e-01	-101814	H3k27ac	T	ENSG00000188660	C21orf125	36	197	1	76
ENST00000448049	chr21:44866481-44866481	+	chr21:44832115-44832655	0.80231	2.710e-02	3.423e-02	F	9.990e-01	F	9.291e-01	-33826	H3k27ac	T	ENSG00000188660	C21orf125	36	197	1	76
ENST00000448049	chr21:44866481-44866481	+	chr21:44835566-44836106	0.63143	1.369e-01	3.423e-02	F	9.990e-01	F	9.291e-01	-30375	H3k27ac	T	ENSG00000188660	C21orf125	36	197	1	76
ENST00000448049	chr21:44866481-44866481	+	chr21:44839298-44839838	0.78931	3.242e-02	3.423e-02	F	9.990e-01	F	9.291e-01	-26643	H3k27ac	T	ENSG00000188660	C21orf125	36	197	1	76
ENST00000448049	chr21:44866481-44866481	+	chr21:44847034-44847331	0.53225	2.354e-01	3.423e-02	F	9.990e-01	F	9.291e-01	-19150	H3k27ac	T	ENSG00000188660	C21orf125	36	197	1	76
ENST00000448049	chr21:44866481-44866481	+	chr21:44848097-44848369	0.48207	2.931e-01	3.423e-02	F	9.990e-01	F	9.291e-01	-18112	H3k27ac	T	ENSG00000188660	C21orf125	36	197	1	76
ENST00000448049	chr21:44866481-44866481	+	chr21:44860418-44861441	0.35968	4.514e-01	3.423e-02	F	9.990e-01	F	9.291e-01	-5040	H3k27ac	T	ENSG00000188660	C21orf125	36	197	1	76
ENST00000448049	chr21:44866481-44866481	+	chr21:44866101-44866528	0.40167	3.946e-01	3.423e-02	F	9.990e-01	F	9.291e-01	0	H3k27ac	T	ENSG00000188660	C21orf125	36	197	1	76
ENST00000448049	chr21:44866481-44866481	+	chr21:44866101-44866528	0.53180	2.359e-01	3.423e-02	F	9.990e-01	F	9.291e-01	0	H3k4me3	F	ENSG00000188660	C21orf125	36	197	1	76
ENST00000448049	chr21:44866481-44866481	+	chr21:44866101-44866545	0.40167	3.946e-01	3.423e-02	F	9.990e-01	F	9.291e-01	0	H3k27ac	T	ENSG00000188660	C21orf125	36	197	1	76
ENST00000448049	chr21:44866481-44866481	+	chr21:44866101-44866545	0.53180	2.359e-01	3.423e-02	F	9.990e-01	F	9.291e-01	0	H3k4me3	F	ENSG00000188660	C21orf125	36	197	1	76
ENST00000448049	chr21:44866481-44866481	+	chr21:44884986-44885252	0.22446	6.479e-01	3.423e-02	F	9.990e-01	F	9.291e-01	18505	H3k27ac	T	ENSG00000188660	C21orf125	36	197	1	76
ENST00000448049	chr21:44866481-44866481	+	chr21:44897802-44898291	0.47111	3.063e-01	3.423e-02	F	9.990e-01	F	9.291e-01	31321	H3k27ac	T	ENSG00000188660	C21orf125	36	197	1	76
