TSS_ID	Gene_ID	Gene_Name	Strand	RE_Locus	Distance	Histone	Correlation_Sign	Score	TSS_Score
ENST00000445461	ENSG00000215386	C21orf34	+	chr21:17613836-17614376	47048	H3k27ac	+	8.228e-01	1.279e-01
ENST00000400166	ENSG00000154639	CXADR	+	chr21:18899436-18899976	14072	H3k27ac	+	4.085e-03	5.535e-01
ENST00000329618	ENSG00000184809	C21orf88	-	chr21:40685345-40685885	298862	H3k27ac	-	4.899e-03	6.200e-01
ENST00000419952	ENSG00000215386	C21orf34	+	chr21:17936129-17936429	369430	H3k27ac	+	1.003e-03	7.943e-01
ENST00000419952	ENSG00000215386	C21orf34	+	chr21:17542063-17542603	-24096	H3k27ac	+	7.042e-03	7.943e-01
ENST00000419952	ENSG00000215386	C21orf34	+	chr21:17552086-17552431	-14268	H3k27ac	+	7.042e-03	7.943e-01
ENST00000419952	ENSG00000215386	C21orf34	+	chr21:17566157-17566697	-2	H3k4me3	+	4.203e-02	7.943e-01
ENST00000419952	ENSG00000215386	C21orf34	+	chr21:17566157-17566697	-2	H3k27ac	+	7.819e-02	7.943e-01
ENST00000419952	ENSG00000215386	C21orf34	+	chr21:17496646-17497186	-69513	H3k27ac	+	2.467e-01	7.943e-01
ENST00000419952	ENSG00000215386	C21orf34	+	chr21:17613836-17614376	47137	H3k27ac	+	4.865e-01	7.943e-01
ENST00000419952	ENSG00000215386	C21orf34	+	chr21:17126871-17127411	-439288	H3k27ac	-	6.193e-01	7.943e-01
ENST00000485550	ENSG00000205581	HMGN1	-	chr21:40685345-40685885	34637	H3k27ac	-	5.420e-03	9.597e-01
ENST00000485550	ENSG00000205581	HMGN1	-	chr21:40466935-40467475	253047	H3k27ac	-	4.190e-01	9.597e-01
ENST00000485550	ENSG00000205581	HMGN1	-	chr21:40225250-40225790	494732	H3k27ac	+	5.997e-01	9.597e-01
ENST00000270162	ENSG00000142178	SIK1	-	chr21:44839298-44839838	7169	H3k27ac	+	5.056e-04	9.694e-01
ENST00000270162	ENSG00000142178	SIK1	-	chr21:45059581-45060121	-212574	H3k27ac	+	4.081e-03	9.694e-01
ENST00000270162	ENSG00000142178	SIK1	-	chr21:44917911-44918451	-70904	H3k27ac	+	4.636e-03	9.694e-01
ENST00000270162	ENSG00000142178	SIK1	-	chr21:44832115-44832655	14352	H3k27ac	+	5.950e-03	9.694e-01
ENST00000270162	ENSG00000142178	SIK1	-	chr21:44764159-44764667	82340	H3k27ac	+	8.130e-03	9.694e-01
ENST00000270162	ENSG00000142178	SIK1	-	chr21:44753164-44753648	93359	H3k27ac	+	1.309e-02	9.694e-01
ENST00000270162	ENSG00000142178	SIK1	-	chr21:45020574-45020861	-173567	H3k27ac	+	2.204e-02	9.694e-01
ENST00000270162	ENSG00000142178	SIK1	-	chr21:44922977-44923355	-75970	H3k27ac	+	2.871e-02	9.694e-01
ENST00000270162	ENSG00000142178	SIK1	-	chr21:44835566-44836106	10901	H3k27ac	+	3.090e-02	9.694e-01
ENST00000270162	ENSG00000142178	SIK1	-	chr21:44936642-44937264	-89635	H3k27ac	+	3.795e-02	9.694e-01
ENST00000270162	ENSG00000142178	SIK1	-	chr21:44922239-44922750	-75232	H3k27ac	+	4.045e-02	9.694e-01
ENST00000270162	ENSG00000142178	SIK1	-	chr21:45132032-45132841	-285025	H3k27ac	+	4.120e-02	9.694e-01
ENST00000270162	ENSG00000142178	SIK1	-	chr21:44752164-44752704	94303	H3k27ac	+	4.377e-02	9.694e-01
ENST00000270162	ENSG00000142178	SIK1	-	chr21:45066430-45066634	-219423	H3k27ac	+	4.922e-02	9.694e-01
ENST00000270162	ENSG00000142178	SIK1	-	chr21:44848097-44848369	-1090	H3k27ac	+	8.383e-02	9.694e-01
ENST00000270162	ENSG00000142178	SIK1	-	chr21:44847034-44847331	-27	H3k4me3	+	8.436e-02	9.694e-01
ENST00000270162	ENSG00000142178	SIK1	-	chr21:44866101-44866528	-19094	H3k27ac	+	8.868e-02	9.694e-01
ENST00000270162	ENSG00000142178	SIK1	-	chr21:44866101-44866545	-19094	H3k27ac	+	8.868e-02	9.694e-01
ENST00000270162	ENSG00000142178	SIK1	-	chr21:44897802-44898291	-50795	H3k27ac	+	8.901e-02	9.694e-01
ENST00000270162	ENSG00000142178	SIK1	-	chr21:44897802-44898295	-50795	H3k27ac	+	8.901e-02	9.694e-01
ENST00000270162	ENSG00000142178	SIK1	-	chr21:44914526-44914700	-67519	H3k27ac	+	1.025e-01	9.694e-01
ENST00000270162	ENSG00000142178	SIK1	-	chr21:44630088-44630628	216379	H3k27ac	+	1.182e-01	9.694e-01
ENST00000270162	ENSG00000142178	SIK1	-	chr21:44760572-44761004	86003	H3k27ac	+	1.235e-01	9.694e-01
ENST00000270162	ENSG00000142178	SIK1	-	chr21:44761225-44761652	85355	H3k27ac	+	1.332e-01	9.694e-01
ENST00000270162	ENSG00000142178	SIK1	-	chr21:44762737-44763466	83541	H3k27ac	+	1.451e-01	9.694e-01
ENST00000270162	ENSG00000142178	SIK1	-	chr21:44860418-44861441	-13411	H3k27ac	+	1.787e-01	9.694e-01
ENST00000270162	ENSG00000142178	SIK1	-	chr21:44847034-44847331	-27	H3k27ac	+	1.892e-01	9.694e-01
ENST00000270162	ENSG00000142178	SIK1	-	chr21:45010042-45010582	-163035	H3k27ac	+	2.103e-01	9.694e-01
ENST00000270162	ENSG00000142178	SIK1	-	chr21:45011427-45011967	-164420	H3k27ac	+	2.103e-01	9.694e-01
ENST00000270162	ENSG00000142178	SIK1	-	chr21:45005896-45006413	-158889	H3k27ac	+	2.372e-01	9.694e-01
ENST00000270162	ENSG00000142178	SIK1	-	chr21:45029622-45029781	-182615	H3k27ac	+	2.985e-01	9.694e-01
ENST00000270162	ENSG00000142178	SIK1	-	chr21:44751993-44752310	94697	H3k27ac	+	3.093e-01	9.694e-01
ENST00000270162	ENSG00000142178	SIK1	-	chr21:44884986-44885252	-37979	H3k27ac	+	5.069e-01	9.694e-01
ENST00000270162	ENSG00000142178	SIK1	-	chr21:44910389-44910656	-63382	H3k27ac	-	5.122e-01	9.694e-01
ENST00000270162	ENSG00000142178	SIK1	-	chr21:45148312-45148500	-301305	H3k27ac	-	5.769e-01	9.694e-01
ENST00000481638	ENSG00000166979	C21orf63	+	chr21:33814786-33815326	29714	H3k27ac	+	3.831e-03	9.772e-01
ENST00000481638	ENSG00000166979	C21orf63	+	chr21:33829737-33830277	44665	H3k27ac	+	1.020e-01	9.772e-01
ENST00000481638	ENSG00000166979	C21orf63	+	chr21:33836207-33836567	51135	H3k27ac	+	1.540e-01	9.772e-01
ENST00000481638	ENSG00000166979	C21orf63	+	chr21:33805254-33805794	20182	H3k27ac	-	4.520e-01	9.772e-01
ENST00000481638	ENSG00000166979	C21orf63	+	chr21:34144081-34144621	359009	H3k27ac	+	7.237e-01	9.772e-01
ENST00000498150	ENSG00000160209	PDXK	+	chr21:44884986-44885252	-296846	H3k27ac	+	5.976e-04	9.795e-01
ENST00000498150	ENSG00000160209	PDXK	+	chr21:44860418-44861441	-320657	H3k27ac	+	1.776e-01	9.795e-01
ENST00000498150	ENSG00000160209	PDXK	+	chr21:44922977-44923355	-258743	H3k27ac	+	1.813e-01	9.795e-01
ENST00000498150	ENSG00000160209	PDXK	+	chr21:45029622-45029781	-152317	H3k27ac	+	2.213e-01	9.795e-01
ENST00000498150	ENSG00000160209	PDXK	+	chr21:44866101-44866528	-315570	H3k27ac	+	2.362e-01	9.795e-01
ENST00000498150	ENSG00000160209	PDXK	+	chr21:44866101-44866545	-315553	H3k27ac	+	2.362e-01	9.795e-01
ENST00000498150	ENSG00000160209	PDXK	+	chr21:44847034-44847331	-334767	H3k27ac	-	2.407e-01	9.795e-01
ENST00000498150	ENSG00000160209	PDXK	+	chr21:45010042-45010582	-171516	H3k27ac	+	2.525e-01	9.795e-01
ENST00000498150	ENSG00000160209	PDXK	+	chr21:45011427-45011967	-170131	H3k27ac	+	2.525e-01	9.795e-01
ENST00000498150	ENSG00000160209	PDXK	+	chr21:44760572-44761004	-421094	H3k27ac	-	2.892e-01	9.795e-01
ENST00000498150	ENSG00000160209	PDXK	+	chr21:44761225-44761652	-420446	H3k27ac	-	2.906e-01	9.795e-01
ENST00000498150	ENSG00000160209	PDXK	+	chr21:44922239-44922750	-259348	H3k27ac	+	3.063e-01	9.795e-01
ENST00000498150	ENSG00000160209	PDXK	+	chr21:45148312-45148500	-33598	H3k27ac	+	3.151e-01	9.795e-01
ENST00000498150	ENSG00000160209	PDXK	+	chr21:44752164-44752704	-429394	H3k27ac	-	3.410e-01	9.795e-01
ENST00000498150	ENSG00000160209	PDXK	+	chr21:45066430-45066634	-115464	H3k27ac	-	4.148e-01	9.795e-01
ENST00000498150	ENSG00000160209	PDXK	+	chr21:44751993-44752310	-429788	H3k27ac	-	5.037e-01	9.795e-01
ENST00000498150	ENSG00000160209	PDXK	+	chr21:44914526-44914700	-267398	H3k27ac	+	5.448e-01	9.795e-01
ENST00000498150	ENSG00000160209	PDXK	+	chr21:44764159-44764667	-417431	H3k27ac	-	5.942e-01	9.795e-01
ENST00000498150	ENSG00000160209	PDXK	+	chr21:45005896-45006413	-175685	H3k27ac	+	5.968e-01	9.795e-01
ENST00000498150	ENSG00000160209	PDXK	+	chr21:44832115-44832655	-349443	H3k27ac	-	6.004e-01	9.795e-01
ENST00000498150	ENSG00000160209	PDXK	+	chr21:44835566-44836106	-345992	H3k27ac	+	6.168e-01	9.795e-01
ENST00000498150	ENSG00000160209	PDXK	+	chr21:44910389-44910656	-271442	H3k27ac	-	6.308e-01	9.795e-01
ENST00000498150	ENSG00000160209	PDXK	+	chr21:44897802-44898291	-283807	H3k27ac	+	6.461e-01	9.795e-01
ENST00000498150	ENSG00000160209	PDXK	+	chr21:44897802-44898295	-283803	H3k27ac	+	6.461e-01	9.795e-01
ENST00000498150	ENSG00000160209	PDXK	+	chr21:45132032-45132841	-49257	H3k27ac	-	6.505e-01	9.795e-01
ENST00000498150	ENSG00000160209	PDXK	+	chr21:45020574-45020861	-161237	H3k27ac	-	6.612e-01	9.795e-01
ENST00000498150	ENSG00000160209	PDXK	+	chr21:45059581-45060121	-121977	H3k27ac	-	6.716e-01	9.795e-01
ENST00000498150	ENSG00000160209	PDXK	+	chr21:44839298-44839838	-342260	H3k27ac	-	7.036e-01	9.795e-01
ENST00000498150	ENSG00000160209	PDXK	+	chr21:44936642-44937264	-244834	H3k27ac	+	7.201e-01	9.795e-01
ENST00000498150	ENSG00000160209	PDXK	+	chr21:44848097-44848369	-333729	H3k27ac	+	7.360e-01	9.795e-01
ENST00000498150	ENSG00000160209	PDXK	+	chr21:44762737-44763466	-418632	H3k27ac	-	7.635e-01	9.795e-01
ENST00000498150	ENSG00000160209	PDXK	+	chr21:44917911-44918451	-263647	H3k27ac	+	8.081e-01	9.795e-01
ENST00000498150	ENSG00000160209	PDXK	+	chr21:44753164-44753648	-428450	H3k27ac	+	8.884e-01	9.795e-01
ENST00000448049	ENSG00000188660	C21orf125	+	chr21:44762737-44763466	-103015	H3k27ac	+	9.669e-04	9.990e-01
ENST00000448049	ENSG00000188660	C21orf125	+	chr21:44630088-44630628	-235853	H3k27ac	+	1.874e-02	9.990e-01
ENST00000448049	ENSG00000188660	C21orf125	+	chr21:44764159-44764667	-101814	H3k27ac	+	2.482e-02	9.990e-01
ENST00000448049	ENSG00000188660	C21orf125	+	chr21:44832115-44832655	-33826	H3k27ac	+	2.710e-02	9.990e-01
ENST00000448049	ENSG00000188660	C21orf125	+	chr21:44839298-44839838	-26643	H3k27ac	+	3.242e-02	9.990e-01
ENST00000448049	ENSG00000188660	C21orf125	+	chr21:44751993-44752310	-114171	H3k27ac	+	5.889e-02	9.990e-01
ENST00000448049	ENSG00000188660	C21orf125	+	chr21:45132032-45132841	265551	H3k27ac	+	8.954e-02	9.990e-01
ENST00000448049	ENSG00000188660	C21orf125	+	chr21:44752164-44752704	-113777	H3k27ac	+	1.146e-01	9.990e-01
ENST00000448049	ENSG00000188660	C21orf125	+	chr21:44835566-44836106	-30375	H3k27ac	+	1.369e-01	9.990e-01
ENST00000448049	ENSG00000188660	C21orf125	+	chr21:44917911-44918451	51430	H3k27ac	+	1.401e-01	9.990e-01
ENST00000448049	ENSG00000188660	C21orf125	+	chr21:44753164-44753648	-112833	H3k27ac	+	1.529e-01	9.990e-01
ENST00000448049	ENSG00000188660	C21orf125	+	chr21:45059581-45060121	193100	H3k27ac	+	1.585e-01	9.990e-01
ENST00000448049	ENSG00000188660	C21orf125	+	chr21:44847034-44847331	-19150	H3k27ac	+	2.354e-01	9.990e-01
ENST00000448049	ENSG00000188660	C21orf125	+	chr21:44866101-44866528	0	H3k4me3	+	2.359e-01	9.990e-01
ENST00000448049	ENSG00000188660	C21orf125	+	chr21:44866101-44866545	0	H3k4me3	+	2.359e-01	9.990e-01
ENST00000448049	ENSG00000188660	C21orf125	+	chr21:45066430-45066634	199949	H3k27ac	+	2.414e-01	9.990e-01
ENST00000448049	ENSG00000188660	C21orf125	+	chr21:44761225-44761652	-104829	H3k27ac	+	2.415e-01	9.990e-01
ENST00000448049	ENSG00000188660	C21orf125	+	chr21:44922977-44923355	56496	H3k27ac	+	2.473e-01	9.990e-01
ENST00000448049	ENSG00000188660	C21orf125	+	chr21:44760572-44761004	-105477	H3k27ac	+	2.561e-01	9.990e-01
ENST00000448049	ENSG00000188660	C21orf125	+	chr21:44914526-44914700	48045	H3k27ac	+	2.851e-01	9.990e-01
ENST00000448049	ENSG00000188660	C21orf125	+	chr21:44848097-44848369	-18112	H3k27ac	+	2.931e-01	9.990e-01
ENST00000448049	ENSG00000188660	C21orf125	+	chr21:44897802-44898291	31321	H3k27ac	+	3.063e-01	9.990e-01
ENST00000448049	ENSG00000188660	C21orf125	+	chr21:44897802-44898295	31321	H3k27ac	+	3.063e-01	9.990e-01
ENST00000448049	ENSG00000188660	C21orf125	+	chr21:44922239-44922750	55758	H3k27ac	+	3.100e-01	9.990e-01
ENST00000448049	ENSG00000188660	C21orf125	+	chr21:45020574-45020861	154093	H3k27ac	+	3.460e-01	9.990e-01
ENST00000448049	ENSG00000188660	C21orf125	+	chr21:44866101-44866528	0	H3k27ac	+	3.946e-01	9.990e-01
ENST00000448049	ENSG00000188660	C21orf125	+	chr21:44866101-44866545	0	H3k27ac	+	3.946e-01	9.990e-01
ENST00000448049	ENSG00000188660	C21orf125	+	chr21:44936642-44937264	70161	H3k27ac	+	4.225e-01	9.990e-01
ENST00000448049	ENSG00000188660	C21orf125	+	chr21:44860418-44861441	-5040	H3k27ac	+	4.514e-01	9.990e-01
ENST00000448049	ENSG00000188660	C21orf125	+	chr21:45148312-45148500	281831	H3k27ac	-	4.987e-01	9.990e-01
ENST00000448049	ENSG00000188660	C21orf125	+	chr21:44884986-44885252	18505	H3k27ac	+	6.479e-01	9.990e-01
ENST00000448049	ENSG00000188660	C21orf125	+	chr21:45005896-45006413	139415	H3k27ac	+	6.561e-01	9.990e-01
ENST00000448049	ENSG00000188660	C21orf125	+	chr21:44910389-44910656	43908	H3k27ac	-	7.126e-01	9.990e-01
ENST00000448049	ENSG00000188660	C21orf125	+	chr21:45010042-45010582	143561	H3k27ac	+	8.724e-01	9.990e-01
ENST00000448049	ENSG00000188660	C21orf125	+	chr21:45011427-45011967	144946	H3k27ac	+	8.724e-01	9.990e-01
ENST00000448049	ENSG00000188660	C21orf125	+	chr21:45029622-45029781	163141	H3k27ac	+	9.325e-01	9.990e-01
ENST00000429588	ENSG00000230479	AP000695.6	+	chr21:37802299-37802839	0	H3k4me3	+	4.352e-03	9.996e-01
ENST00000429588	ENSG00000230479	AP000695.6	+	chr21:37810039-37810579	7381	H3k27ac	+	1.263e-02	9.996e-01
ENST00000429588	ENSG00000230479	AP000695.6	+	chr21:37850515-37850820	47857	H3k27ac	+	1.361e-01	9.996e-01
ENST00000429588	ENSG00000230479	AP000695.6	+	chr21:37802299-37802839	0	H3k27ac	+	1.548e-01	9.996e-01
ENST00000429588	ENSG00000230479	AP000695.6	+	chr21:38282895-38283232	480237	H3k27ac	+	2.548e-01	9.996e-01
ENST00000429588	ENSG00000230479	AP000695.6	+	chr21:38282033-38282644	479375	H3k27ac	+	2.911e-01	9.996e-01
ENST00000429588	ENSG00000230479	AP000695.6	+	chr21:38230667-38230968	428009	H3k27ac	-	3.963e-01	9.996e-01
ENST00000429588	ENSG00000230479	AP000695.6	+	chr21:37843647-37843921	40989	H3k27ac	-	4.371e-01	9.996e-01
ENST00000429588	ENSG00000230479	AP000695.6	+	chr21:38255994-38256567	453336	H3k27ac	-	4.992e-01	9.996e-01
ENST00000437626	ENSG00000197381	ADARB1	+	chr21:46470639-46471179	-23336	H3k27ac	+	5.211e-03	9.997e-01
ENST00000437626	ENSG00000197381	ADARB1	+	chr21:46470869-46471409	-23106	H3k27ac	+	5.211e-03	9.997e-01
ENST00000437626	ENSG00000197381	ADARB1	+	chr21:46739402-46739942	244887	H3k27ac	+	1.450e-01	9.997e-01
ENST00000437626	ENSG00000197381	ADARB1	+	chr21:46785642-46786182	291127	H3k27ac	+	2.176e-01	9.997e-01
ENST00000437626	ENSG00000197381	ADARB1	+	chr21:46797947-46798487	303432	H3k27ac	-	4.224e-01	9.997e-01
ENST00000437626	ENSG00000197381	ADARB1	+	chr21:46783930-46784285	289415	H3k27ac	+	4.755e-01	9.997e-01
ENST00000437626	ENSG00000197381	ADARB1	+	chr21:46847510-46848050	352995	H3k27ac	+	4.983e-01	9.997e-01
ENST00000437626	ENSG00000197381	ADARB1	+	chr21:46749983-46750391	255468	H3k27ac	+	9.226e-01	9.997e-01
ENST00000453910	ENSG00000215386	C21orf34	+	chr21:17936129-17936429	144291	H3k27ac	+	7.064e-03	9.998e-01
ENST00000453910	ENSG00000215386	C21orf34	+	chr21:17566157-17566697	-225141	H3k27ac	+	3.474e-02	9.998e-01
ENST00000453910	ENSG00000215386	C21orf34	+	chr21:17613836-17614376	-177462	H3k27ac	+	5.480e-02	9.998e-01
ENST00000453910	ENSG00000215386	C21orf34	+	chr21:17542063-17542603	-249235	H3k27ac	+	2.334e-01	9.998e-01
ENST00000453910	ENSG00000215386	C21orf34	+	chr21:17552086-17552431	-239407	H3k27ac	+	2.334e-01	9.998e-01
ENST00000453910	ENSG00000215386	C21orf34	+	chr21:17496646-17497186	-294652	H3k27ac	+	6.091e-01	9.998e-01
ENST00000471260	ENSG00000205581	HMGN1	-	chr21:40685345-40685885	34660	H3k27ac	-	1.428e-02	9.998e-01
ENST00000471260	ENSG00000205581	HMGN1	-	chr21:40466935-40467475	253070	H3k27ac	-	3.712e-01	9.998e-01
ENST00000471260	ENSG00000205581	HMGN1	-	chr21:40225250-40225790	494755	H3k27ac	+	6.461e-01	9.998e-01
ENST00000482192	ENSG00000205581	HMGN1	-	chr21:40685345-40685885	34663	H3k27ac	-	1.442e-02	9.998e-01
ENST00000482192	ENSG00000205581	HMGN1	-	chr21:40466935-40467475	253073	H3k27ac	-	3.625e-01	9.998e-01
ENST00000482192	ENSG00000205581	HMGN1	-	chr21:40225250-40225790	494758	H3k27ac	+	6.363e-01	9.998e-01
ENST00000539917	ENSG00000197381	ADARB1	+	chr21:46470639-46471179	-23314	H3k27ac	+	5.756e-03	9.999e-01
ENST00000539917	ENSG00000197381	ADARB1	+	chr21:46470869-46471409	-23084	H3k27ac	+	5.756e-03	9.999e-01
ENST00000539917	ENSG00000197381	ADARB1	+	chr21:46739402-46739942	244909	H3k27ac	+	1.705e-01	9.999e-01
ENST00000539917	ENSG00000197381	ADARB1	+	chr21:46785642-46786182	291149	H3k27ac	+	2.495e-01	9.999e-01
ENST00000539917	ENSG00000197381	ADARB1	+	chr21:46797947-46798487	303454	H3k27ac	-	5.180e-01	9.999e-01
ENST00000539917	ENSG00000197381	ADARB1	+	chr21:46783930-46784285	289437	H3k27ac	+	5.559e-01	9.999e-01
ENST00000539917	ENSG00000197381	ADARB1	+	chr21:46847510-46848050	353017	H3k27ac	+	5.761e-01	9.999e-01
ENST00000539917	ENSG00000197381	ADARB1	+	chr21:46749983-46750391	255490	H3k27ac	+	9.831e-01	9.999e-01
ENST00000488492	ENSG00000243927	MRPS6	+	chr21:35574169-35574709	128645	H3k27ac	-	1.214e-02	9.999e-01
ENST00000488492	ENSG00000243927	MRPS6	+	chr21:35055562-35056102	-389422	H3k27ac	+	2.887e-02	9.999e-01
ENST00000488492	ENSG00000243927	MRPS6	+	chr21:35133808-35134348	-311176	H3k27ac	+	5.191e-01	9.999e-01
ENST00000488492	ENSG00000243927	MRPS6	+	chr21:35898944-35899484	453420	H3k27ac	+	8.504e-01	9.999e-01
ENST00000448287	ENSG00000160216	AGPAT3	+	chr21:44884986-44885252	-401871	H3k27ac	+	1.955e-03	1.000e+00
ENST00000448287	ENSG00000160216	AGPAT3	+	chr21:45029622-45029781	-257342	H3k27ac	+	1.499e-01	1.000e+00
ENST00000448287	ENSG00000160216	AGPAT3	+	chr21:45010042-45010582	-276541	H3k27ac	+	1.872e-01	1.000e+00
ENST00000448287	ENSG00000160216	AGPAT3	+	chr21:45011427-45011967	-275156	H3k27ac	+	1.872e-01	1.000e+00
ENST00000448287	ENSG00000160216	AGPAT3	+	chr21:44847034-44847331	-439792	H3k27ac	-	2.069e-01	1.000e+00
ENST00000448287	ENSG00000160216	AGPAT3	+	chr21:44866101-44866528	-420595	H3k27ac	+	2.108e-01	1.000e+00
ENST00000448287	ENSG00000160216	AGPAT3	+	chr21:44866101-44866545	-420578	H3k27ac	+	2.108e-01	1.000e+00
ENST00000448287	ENSG00000160216	AGPAT3	+	chr21:44922977-44923355	-363768	H3k27ac	+	2.192e-01	1.000e+00
ENST00000448287	ENSG00000160216	AGPAT3	+	chr21:44860418-44861441	-425682	H3k27ac	+	2.447e-01	1.000e+00
ENST00000448287	ENSG00000160216	AGPAT3	+	chr21:44922239-44922750	-364373	H3k27ac	+	2.715e-01	1.000e+00
ENST00000448287	ENSG00000160216	AGPAT3	+	chr21:45148312-45148500	-138623	H3k27ac	+	4.287e-01	1.000e+00
ENST00000448287	ENSG00000160216	AGPAT3	+	chr21:45066430-45066634	-220489	H3k27ac	-	4.402e-01	1.000e+00
ENST00000448287	ENSG00000160216	AGPAT3	+	chr21:45132032-45132841	-154282	H3k27ac	-	4.711e-01	1.000e+00
ENST00000448287	ENSG00000160216	AGPAT3	+	chr21:45005896-45006413	-280710	H3k27ac	+	4.856e-01	1.000e+00
ENST00000448287	ENSG00000160216	AGPAT3	+	chr21:44832115-44832655	-454468	H3k27ac	-	5.093e-01	1.000e+00
ENST00000448287	ENSG00000160216	AGPAT3	+	chr21:44914526-44914700	-372423	H3k27ac	+	5.529e-01	1.000e+00
ENST00000448287	ENSG00000160216	AGPAT3	+	chr21:44897802-44898291	-388832	H3k27ac	+	5.574e-01	1.000e+00
ENST00000448287	ENSG00000160216	AGPAT3	+	chr21:44897802-44898295	-388828	H3k27ac	+	5.574e-01	1.000e+00
ENST00000448287	ENSG00000160216	AGPAT3	+	chr21:44839298-44839838	-447285	H3k27ac	-	5.836e-01	1.000e+00
ENST00000448287	ENSG00000160216	AGPAT3	+	chr21:45059581-45060121	-227002	H3k27ac	-	5.837e-01	1.000e+00
ENST00000448287	ENSG00000160216	AGPAT3	+	chr21:45020574-45020861	-266262	H3k27ac	-	6.017e-01	1.000e+00
ENST00000448287	ENSG00000160216	AGPAT3	+	chr21:44936642-44937264	-349859	H3k27ac	+	6.310e-01	1.000e+00
ENST00000448287	ENSG00000160216	AGPAT3	+	chr21:44835566-44836106	-451017	H3k27ac	+	6.560e-01	1.000e+00
ENST00000448287	ENSG00000160216	AGPAT3	+	chr21:44910389-44910656	-376467	H3k27ac	-	7.582e-01	1.000e+00
ENST00000448287	ENSG00000160216	AGPAT3	+	chr21:44848097-44848369	-438754	H3k27ac	+	7.685e-01	1.000e+00
ENST00000448287	ENSG00000160216	AGPAT3	+	chr21:44917911-44918451	-368672	H3k27ac	+	7.748e-01	1.000e+00
ENST00000398132	ENSG00000160202	CRYAA	+	chr21:44884986-44885252	294720	H3k27ac	+	1.707e-03	1.000e+00
ENST00000398132	ENSG00000160202	CRYAA	+	chr21:45029622-45029781	439356	H3k27ac	+	1.386e-01	1.000e+00
ENST00000398132	ENSG00000160202	CRYAA	+	chr21:45010042-45010582	419776	H3k27ac	+	1.743e-01	1.000e+00
ENST00000398132	ENSG00000160202	CRYAA	+	chr21:45011427-45011967	421161	H3k27ac	+	1.743e-01	1.000e+00
ENST00000398132	ENSG00000160202	CRYAA	+	chr21:44866101-44866528	275835	H3k27ac	+	1.965e-01	1.000e+00
ENST00000398132	ENSG00000160202	CRYAA	+	chr21:44866101-44866545	275835	H3k27ac	+	1.965e-01	1.000e+00
ENST00000398132	ENSG00000160202	CRYAA	+	chr21:44922977-44923355	332711	H3k27ac	+	2.114e-01	1.000e+00
